Name	3UTR	5UTR	CDS
uc001abv.1	1.0	60.0	429.0
uc001abw.1	428.0	80.0	2046.0
uc031pkd.1	NA	NA	NA
uc031pjo.1	NA	NA	NA
uc031pkn.1	NA	NA	NA
uc031pkm.1	428.0	20.0	1806.0
uc001abx.2	428.0	20.0	1998.0
uc031pkl.1	NA	NA	NA
uc031pkk.1	NA	NA	NA
uc031pkj.1	255.0	20.0	1191.0
uc031pki.1	255.0	20.0	1188.0
uc031pkh.1	428.0	20.0	1671.0
uc031pkg.1	428.0	20.0	1722.0
uc031pkf.1	NA	NA	NA
uc031pke.1	428.0	453.0	1491.0
uc031pjp.1	428.0	20.0	1719.0
uc031pkc.1	428.0	20.0	1968.0
uc031pkb.1	428.0	150.0	1356.0
uc031pka.1	428.0	450.0	1164.0
uc031pjz.1	NA	NA	NA
uc031pjy.1	428.0	612.0	1443.0
uc031pjx.1	428.0	20.0	2001.0
uc031pjw.1	NA	NA	NA
uc031pjv.1	428.0	660.0	1491.0
uc031pjq.1	428.0	450.0	1443.0
uc031pjr.1	428.0	701.0	1029.0
uc031pjs.1	255.0	20.0	2046.0
uc031pju.1	428.0	20.0	2049.0
uc031pjt.1	428.0	20.0	1860.0
uc031pjl.1	0.0	20.0	2100.0
uc031pjm.1	0.0	20.0	2064.0
uc031pjn.1	1.0	402.0	558.0
uc031pko.1	0.0	35.0	1590.0
uc031pkp.1	428.0	195.0	1029.0
uc001acs.2	NA	NA	NA
uc010nyd.1	NA	NA	NA
uc001acn.2	1075.0	631.0	1035.0
uc001acr.2	NA	NA	NA
uc001act.2	1075.0	486.0	1143.0
uc001acu.2	1075.0	432.0	597.0
uc001adk.3	1772.0	30.0	990.0
uc001aeo.3	1133.0	415.0	645.0
uc001afm.3	1312.0	22.0	414.0
uc009vkd.3	1455.0	20.0	267.0
uc001amk.3	3887.0	73.0	855.0
uc001aml.3	3887.0	468.0	567.0
uc001anz.1	4646.0	52.0	1620.0
uc001aoa.3	2641.0	52.0	1794.0
uc009vme.3	2641.0	142.0	693.0
uc001aob.4	2396.0	371.0	903.0
uc001aoc.3	505.0	159.0	720.0
uc001aod.3	505.0	69.0	717.0
uc001aoe.2	1498.0	69.0	528.0
uc001apt.3	6466.0	273.0	2376.0
uc001atc.2	4950.0	229.0	1971.0
uc001atb.1	4950.0	198.0	2040.0
uc031plg.1	4950.0	240.0	1236.0
uc001atd.1	NA	NA	NA
uc009vnd.1	NA	NA	NA
uc010obo.2	835.0	227.0	3060.0
uc001ayg.3	606.0	216.0	2154.0
uc001ayf.3	606.0	575.0	1875.0
uc001ayh.3	2447.0	17.0	513.0
uc001ayo.3	1199.0	90.0	792.0
uc001ayq.3	1093.0	90.0	822.0
uc010ocd.2	1199.0	90.0	714.0
uc021ogo.1	NA	NA	NA
uc021ohq.1	NA	NA	NA
uc001bcb.3	657.0	412.0	543.0
uc001bbz.3	657.0	305.0	681.0
uc001bca.3	657.0	722.0	876.0
uc001bby.3	657.0	352.0	876.0
uc001bcn.3	827.0	242.0	1905.0
uc001bco.1	387.0	271.0	1743.0
uc001bcp.1	387.0	271.0	1623.0
uc009vpn.1	420.0	350.0	945.0
uc001bcq.1	1.0	168.0	876.0
uc001bdi.4	1242.0	157.0	1059.0
uc001bfm.4	NA	NA	NA
uc001bfn.4	NA	NA	NA
uc009vsp.2	522.0	460.0	1011.0
uc001bne.3	522.0	29.0	1578.0
uc009vsy.3	715.0	969.0	4812.0
uc009vsz.1	43.0	638.0	4812.0
uc021ojw.1	0.0	0.0	4812.0
uc001boh.1	2.0	1147.0	864.0
uc001brb.3	830.0	142.0	1692.0
uc001bra.3	830.0	142.0	1722.0
uc001bqz.3	830.0	139.0	1692.0
uc001bsd.2	3745.0	1493.0	1155.0
uc001bse.2	3745.0	47.0	1329.0
uc009vua.2	605.0	47.0	1641.0
uc010ogz.1	605.0	558.0	1101.0
uc001bum.2	605.0	47.0	1401.0
uc001buo.3	NA	NA	NA
uc001bup.3	NA	NA	NA
uc009vub.1	1371.0	3.0	543.0
uc010oha.2	NA	NA	NA
uc001buq.4	656.0	3.0	423.0
uc001bvk.3	NA	NA	NA
uc001bvm.3	328.0	485.0	1023.0
uc001bvn.3	5522.0	485.0	1326.0
uc009vut.3	595.0	201.0	3204.0
uc001byo.3	595.0	1344.0	2349.0
uc010ohu.2	595.0	146.0	3372.0
uc001byn.3	595.0	194.0	3429.0
uc001bym.3	595.0	146.0	3429.0
uc009vus.1	NA	NA	NA
uc001byl.1	3436.0	146.0	516.0
uc001cao.1	328.0	150.0	372.0
uc021olj.1	0.0	0.0	372.0
uc010oid.3	NA	NA	NA
uc001cbi.4	3299.0	115.0	1191.0
uc010oim.2	1356.0	177.0	1098.0
uc001ccq.3	1356.0	177.0	1200.0
uc001ccr.3	1356.0	985.0	966.0
uc001cne.3	410.0	276.0	1116.0
uc001cqf.4	1940.0	231.0	651.0
uc001cqe.4	1940.0	57.0	807.0
uc001csf.3	367.0	1975.0	507.0
uc001csg.3	367.0	399.0	507.0
uc001cuk.2	1618.0	373.0	2280.0
uc001cul.2	1618.0	647.0	1254.0
uc001cvb.4	602.0	515.0	1977.0
uc001cwy.4	2265.0	615.0	504.0
uc001cwx.5	2265.0	774.0	504.0
uc009vzo.3	2265.0	320.0	948.0
uc001cww.3	2265.0	636.0	618.0
uc001cxy.3	836.0	122.0	1428.0
uc021ont.1	0.0	0.0	1428.0
uc001dnm.3	785.0	425.0	2577.0
uc001dnn.3	785.0	412.0	2577.0
uc021opq.1	0.0	0.0	2577.0
uc001dqa.4	455.0	252.0	2478.0
uc001dqb.4	455.0	289.0	2478.0
uc001dpx.5	455.0	234.0	1506.0
uc001dpy.4	455.0	215.0	2205.0
uc001dpz.4	455.0	275.0	2478.0
uc009wdm.1	209.0	234.0	1131.0
uc001dzm.1	327.0	83.0	2910.0
uc001dzl.1	414.0	83.0	2934.0
uc021orn.1	408.0	83.0	2874.0
uc001ebs.3	678.0	357.0	2475.0
uc010owf.2	678.0	902.0	1761.0
uc001ebt.3	678.0	2358.0	1299.0
uc001eeg.3	1895.0	294.0	1599.0
uc001eei.3	1895.0	506.0	1221.0
uc001eeh.3	1915.0	506.0	894.0
uc009wgy.1	6845.0	271.0	1569.0
uc001efv.1	6845.0	271.0	1575.0
uc021ose.1	6845.0	215.0	1575.0
uc001egz.2	1250.0	588.0	1743.0
uc009whe.2	1250.0	588.0	1689.0
uc001elo.3	433.0	324.0	933.0
uc001elw.4	1034.0	302.0	7041.0
uc021ouh.1	930.0	302.0	7089.0
uc001elx.4	1034.0	383.0	6723.0
uc001elv.4	1034.0	207.0	4062.0
uc001ema.3	1423.0	173.0	525.0
uc001emb.1	1623.0	324.0	3399.0
