Name	3UTR	5UTR	CDS
uc001abv.1	1.0	60.0	429.0
uc001abw.1	428.0	80.0	2046.0
uc031pki.1	255.0	20.0	1188.0
uc031pjt.1	428.0	20.0	1860.0
uc031pkh.1	428.0	20.0	1671.0
uc031pjq.1	428.0	450.0	1443.0
uc031pjr.1	428.0	701.0	1029.0
uc031pjs.1	255.0	20.0	2046.0
uc031pkg.1	428.0	20.0	1722.0
uc031pkf.1	NA	NA	NA
uc031pke.1	428.0	453.0	1491.0
uc031pkd.1	NA	NA	NA
uc031pkc.1	428.0	20.0	1968.0
uc031pkb.1	428.0	150.0	1356.0
uc031pka.1	428.0	450.0	1164.0
uc031pjz.1	NA	NA	NA
uc031pjy.1	428.0	612.0	1443.0
uc031pjx.1	428.0	20.0	2001.0
uc031pjw.1	NA	NA	NA
uc031pjv.1	428.0	660.0	1491.0
uc031pju.1	428.0	20.0	2049.0
uc031pkk.1	NA	NA	NA
uc031pkl.1	NA	NA	NA
uc001abx.2	428.0	20.0	1998.0
uc031pkm.1	428.0	20.0	1806.0
uc031pkn.1	NA	NA	NA
uc031pjp.1	428.0	20.0	1719.0
uc031pjo.1	NA	NA	NA
uc031pjn.1	1.0	402.0	558.0
uc031pkj.1	255.0	20.0	1191.0
uc031pjm.1	0.0	20.0	2064.0
uc031pjl.1	0.0	20.0	2100.0
uc031pko.1	0.0	35.0	1590.0
uc031pkp.1	428.0	195.0	1029.0
uc001acr.2	NA	NA	NA
uc001act.2	1075.0	486.0	1143.0
uc001acu.2	1075.0	432.0	597.0
uc001acn.2	1075.0	631.0	1035.0
uc010nyd.1	NA	NA	NA
uc001acs.2	NA	NA	NA
uc001adk.3	1772.0	30.0	990.0
uc001akt.4	NA	NA	NA
uc021ofj.1	NA	NA	NA
uc021ofk.1	NA	NA	NA
uc021ofl.1	NA	NA	NA
uc009vlm.3	NA	NA	NA
uc001anz.1	4646.0	52.0	1620.0
uc001aoa.3	2641.0	52.0	1794.0
uc009vme.3	2641.0	142.0	693.0
uc001aoc.3	505.0	159.0	720.0
uc001aod.3	505.0	69.0	717.0
uc001aoe.2	1498.0	69.0	528.0
uc001apt.3	6466.0	273.0	2376.0
uc031plg.1	4950.0	240.0	1236.0
uc001atb.1	4950.0	198.0	2040.0
uc001atc.2	4950.0	229.0	1971.0
uc001atd.1	NA	NA	NA
uc009vnd.1	NA	NA	NA
uc001atm.3	734.0	113.0	2184.0
uc010obb.2	734.0	113.0	2325.0
uc010obo.2	835.0	227.0	3060.0
uc001ayq.3	1093.0	90.0	822.0
uc001ayo.3	1199.0	90.0	792.0
uc010ocd.2	1199.0	90.0	714.0
uc021ogo.1	NA	NA	NA
uc001bcb.3	657.0	412.0	543.0
uc021ohq.1	NA	NA	NA
uc001bca.3	657.0	722.0	876.0
uc001bby.3	657.0	352.0	876.0
uc001bbz.3	657.0	305.0	681.0
uc001bcn.3	827.0	242.0	1905.0
uc001bco.1	387.0	271.0	1743.0
uc001bcp.1	387.0	271.0	1623.0
uc009vpn.1	420.0	350.0	945.0
uc001bcq.1	1.0	168.0	876.0
uc001bdi.4	1242.0	157.0	1059.0
uc001bfm.4	NA	NA	NA
uc001bfn.4	NA	NA	NA
uc001bkx.3	1315.0	667.0	1041.0
uc021ojm.1	0.0	0.0	1041.0
uc001bne.3	522.0	29.0	1578.0
uc009vsp.2	522.0	460.0	1011.0
uc010ofj.2	924.0	172.0	1278.0
uc001bsd.2	3745.0	1493.0	1155.0
uc001bse.2	3745.0	47.0	1329.0
uc010ogz.1	605.0	558.0	1101.0
uc009vua.2	605.0	47.0	1641.0
uc001bum.2	605.0	47.0	1401.0
uc001buo.3	NA	NA	NA
uc001bup.3	NA	NA	NA
uc009vub.1	1371.0	3.0	543.0
uc010oha.2	NA	NA	NA
uc001buq.4	656.0	3.0	423.0
uc001cao.1	328.0	150.0	372.0
uc021olj.1	0.0	0.0	372.0
uc001cov.3	58.0	283.0	5397.0
uc001cow.3	58.0	283.0	5394.0
uc001coy.1	1.0	1307.0	2013.0
uc001cox.1	2.0	723.0	492.0
uc001coz.1	2.0	167.0	2361.0
uc009vya.3	245.0	237.0	1593.0
uc001cpa.3	NA	NA	NA
uc001cqe.4	1940.0	57.0	807.0
uc001cqf.4	1940.0	231.0	651.0
uc001dxa.4	1707.0	61.0	8772.0
uc001eik.3	3753.0	297.0	7416.0
uc001eil.3	306.0	297.0	3708.0
uc001eim.4	374.0	464.0	2460.0
uc021osy.1	374.0	275.0	2592.0
uc001etf.3	322.0	121.0	414.0
uc021oya.1	0.0	0.0	414.0
uc001fge.2	74.0	248.0	1473.0
uc001fgc.3	98.0	893.0	885.0
uc001fgd.2	942.0	401.0	1371.0
uc001fgg.2	321.0	248.0	1341.0
uc001fgf.2	74.0	401.0	1764.0
uc021paj.1	0.0	0.0	885.0
uc001fgh.1	221.0	477.0	513.0
uc010phi.2	845.0	196.0	1185.0
uc001fod.3	845.0	416.0	708.0
uc009wrw.3	845.0	171.0	1185.0
uc010pkk.1	NA	NA	NA
uc010pkl.1	1418.0	229.0	825.0
uc001fzd.3	1522.0	229.0	927.0
uc009wue.3	1522.0	320.0	573.0
uc009wuf.2	NA	NA	NA
uc001fze.3	1522.0	186.0	927.0
uc001hbe.1	676.0	504.0	2142.0
uc001hbf.1	676.0	376.0	2142.0
uc009xbf.1	676.0	479.0	2142.0
uc021phy.1	0.0	0.0	2142.0
uc001hra.2	558.0	342.0	669.0
uc001hrd.3	1089.0	414.0	1341.0
uc001hre.3	1089.0	598.0	615.0
uc001hrf.2	558.0	414.0	1395.0
uc001hri.2	54.0	88.0	1098.0
uc001iex.3	882.0	695.0	1359.0
uc021pme.1	0.0	0.0	1359.0
uc001iih.2	NA	NA	NA
uc001iig.2	1846.0	44.0	837.0
uc001iii.2	NA	NA	NA
uc009xic.2	1846.0	44.0	837.0
uc010qks.1	540.0	129.0	1530.0
uc001jvk.2	540.0	804.0	2652.0
uc010qkt.1	540.0	971.0	2283.0
uc001jvl.1	986.0	372.0	714.0
uc009xro.2	228.0	129.0	1371.0
uc010qku.1	2.0	132.0	2046.0
uc001knd.1	1374.0	129.0	702.0
uc001koj.4	2546.0	169.0	522.0
uc001kuj.3	236.0	108.0	2328.0
uc009ybe.3	780.0	29.0	1500.0
uc001lll.4	810.0	29.0	1773.0
uc001loj.4	1668.0	314.0	774.0
uc010qvq.2	1668.0	461.0	774.0
uc010qvp.2	1668.0	34.0	1038.0
uc010qvo.2	1668.0	34.0	1254.0
uc010qvn.2	1668.0	34.0	957.0
uc010qvm.2	1668.0	34.0	1062.0
uc001lok.4	1668.0	34.0	1200.0
uc009ybt.1	NA	NA	NA
uc001lto.2	717.0	192.0	459.0
uc010qwz.2	717.0	162.0	807.0
