Name	3UTR	5UTR	CDS
uc001akt.4	NA	NA	NA
uc021ofj.1	NA	NA	NA
uc021ofk.1	NA	NA	NA
uc021ofl.1	NA	NA	NA
uc009vlm.3	NA	NA	NA
uc001aml.3	3887.0	468.0	567.0
uc001amk.3	3887.0	73.0	855.0
uc001aoz.3	1491.0	249.0	1389.0
uc001apa.1	2.0	1209.0	945.0
uc001apt.3	6466.0	273.0	2376.0
uc001aqv.4	3950.0	252.0	3462.0
uc009vmt.3	NA	NA	NA
uc001aqw.4	5016.0	252.0	5313.0
uc001aqx.4	5016.0	202.0	5451.0
uc001aqz.3	3195.0	79.0	5472.0
uc001arb.3	3195.0	79.0	5430.0
uc001ara.3	3195.0	79.0	5352.0
uc001aqy.3	3195.0	79.0	5394.0
uc010oap.2	2838.0	318.0	897.0
uc001art.3	2838.0	134.0	1245.0
uc001atb.1	4950.0	198.0	2040.0
uc031plg.1	4950.0	240.0	1236.0
uc001atc.2	4950.0	229.0	1971.0
uc009vnd.1	NA	NA	NA
uc001atd.1	NA	NA	NA
uc010obb.2	734.0	113.0	2325.0
uc001atm.3	734.0	113.0	2184.0
uc001avg.3	1895.0	126.0	681.0
uc001avh.3	1552.0	856.0	5049.0
uc001avi.3	1944.0	856.0	5157.0
uc009voe.3	NA	NA	NA
uc001avk.3	1552.0	275.0	4446.0
uc009vof.3	NA	NA	NA
uc021ogk.1	2.0	219.0	2355.0
uc001axk.1	1028.0	204.0	10995.0
uc010obp.1	1028.0	0.0	10872.0
uc001ayo.3	1199.0	90.0	792.0
uc010ocd.2	1199.0	90.0	714.0
uc001ayq.3	1093.0	90.0	822.0
uc021ogo.1	NA	NA	NA
uc009vqi.1	4761.0	223.0	3384.0
uc001bfu.2	4761.0	223.0	3720.0
uc001bft.2	4761.0	511.0	3720.0
uc001bfv.1	1.0	812.0	1347.0
uc010odv.1	4872.0	484.0	3231.0
uc001bgk.2	4872.0	550.0	3231.0
uc001bgl.3	463.0	378.0	3081.0
uc001bgm.1	0.0	802.0	3072.0
uc001bgt.3	2521.0	381.0	1413.0
uc001bgu.3	2521.0	559.0	1413.0
uc001bmt.1	0.0	373.0	5121.0
uc001bmu.1	1354.0	373.0	6207.0
uc001bmv.1	1354.0	373.0	6858.0
uc001bmw.1	1.0	283.0	3843.0
uc001bmx.1	1354.0	261.0	3396.0
uc009vsm.1	1354.0	582.0	1842.0
uc009vsn.1	1354.0	1313.0	1584.0
uc009vsp.2	522.0	460.0	1011.0
uc001bne.3	522.0	29.0	1578.0
uc001brb.3	830.0	142.0	1692.0
uc001bqz.3	830.0	139.0	1692.0
uc001bra.3	830.0	142.0	1722.0
uc001bum.2	605.0	47.0	1401.0
uc009vua.2	605.0	47.0	1641.0
uc010ogz.1	605.0	558.0	1101.0
uc001bup.3	NA	NA	NA
uc001buo.3	NA	NA	NA
uc009vub.1	1371.0	3.0	543.0
uc010oha.2	NA	NA	NA
uc001buq.4	656.0	3.0	423.0
uc001byf.1	155.0	134.0	2172.0
uc021olg.1	939.0	1483.0	1917.0
uc010oht.2	938.0	352.0	3687.0
uc001byh.3	938.0	228.0	3978.0
uc009vup.3	279.0	393.0	1620.0
uc009vuq.1	285.0	228.0	2283.0
uc009vur.1	1.0	509.0	1371.0
uc001byk.2	2018.0	228.0	513.0
uc001byj.2	2018.0	134.0	513.0
uc001byi.2	2018.0	205.0	513.0
uc001byt.3	2267.0	80.0	4647.0
uc009vuu.3	2267.0	238.0	4551.0
uc001byu.3	2267.0	297.0	3675.0
uc009vuv.3	2267.0	880.0	3864.0
uc001bzh.1	1756.0	488.0	690.0
uc021oli.1	0.0	0.0	690.0
uc010oid.3	NA	NA	NA
uc001cbi.4	3299.0	115.0	1191.0
uc010oim.2	1356.0	177.0	1098.0
uc001ccq.3	1356.0	177.0	1200.0
uc001ccr.3	1356.0	985.0	966.0
uc009vvt.1	1933.0	762.0	4284.0
uc001cfc.4	474.0	31.0	5745.0
